fighter,height_cm,reach_cm,stance,dob,wins,losses,draws,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg
AJ Cunningham,177.8,180.3,Orthodox,"Sep 07, 1994",11,5,0,4.22,0.29,6.31,0.48,0.0,0.0,0.46,0.5
AJ Dobson,185.4,193.0,Orthodox,"Jan 18, 1992",7,3,0,4.29,0.46,5.31,0.46,1.67,0.75,0.65,0.3
AJ Fletcher,177.8,170.2,Switch,"Feb 18, 1997",10,3,0,3.36,0.49,4.61,0.46,1.54,0.35,0.33,0.9
Aaron Phillips,175.3,180.3,Southpaw,"Aug 05, 1989",12,5,0,1.51,0.53,3.66,0.43,0.86,0.5,0.44,0.6
Aaron Pico,172.7,177.8,Orthodox,"Sep 23, 1996",14,5,0,6.16,0.53,3.11,0.45,6.54,0.5,0.0,0.0
Abdul Rakhman Yakhyaev,188.0,198.1,Orthodox,"Mar 01, 2001",9,0,0,7.4,0.67,2.3,0.57,11.49,0.75,1.0,7.7
Abdul Razak Alhassan,177.8,185.4,Orthodox,"Aug 11, 1985",12,7,0,3.64,0.49,4.01,0.54,0.84,0.33,0.51,0.2
Abdul-Kareem Al-Selwady,172.7,175.3,Orthodox,"Apr 10, 1995",16,4,0,4.61,0.41,3.43,0.6,1.47,0.23,0.54,0.0
Abu Azaitar,175.3,193.0,Orthodox,"Mar 10, 1986",14,4,1,4.38,0.43,4.32,0.51,1.0,0.37,0.42,0.0
Abubakar Nurmagomedov,180.3,182.9,Orthodox,"Nov 13, 1989",17,4,1,2.78,0.53,2.61,0.65,1.25,0.22,0.88,0.0
Abus Magomedov,188.0,198.1,Orthodox,"Sep 02, 1990",28,7,1,3.07,0.49,3.43,0.55,2.61,0.59,1.0,0.4
Adam Fugitt,185.4,195.6,Southpaw,"Jan 12, 1989",10,6,0,4.88,0.46,5.33,0.51,1.63,0.22,0.5,0.0
Adrian Yanez,170.2,177.8,Orthodox,"Nov 29, 1993",17,6,1,5.96,0.41,5.24,0.56,0.0,0.0,0.75,0.0
Aiemann Zahabi,172.7,172.7,Orthodox,"Nov 19, 1987",14,2,0,4.54,0.47,4.08,0.69,0.12,0.14,0.83,0.0
Ailin Perez,165.1,167.6,Switch,"Oct 05, 1994",13,2,0,2.88,0.56,1.58,0.56,4.9,0.49,0.72,0.2
Alatengheili,165.1,167.6,Orthodox,"Dec 14, 1991",17,10,2,2.82,0.32,5.12,0.57,1.74,0.43,0.75,0.0
Albert Duraev,180.3,190.5,Orthodox,"Jan 05, 1989",16,5,0,2.99,0.4,3.01,0.59,1.97,0.29,0.66,0.6
Alberto Montes,170.2,175.3,Orthodox,"May 31, 1994",12,1,0,5.26,0.6,4.44,0.6,0.0,0.0,0.77,6.8
Alden Coria,172.7,170.2,Orthodox,"Apr 24, 1998",12,3,0,4.69,0.44,2.4,0.69,1.75,0.5,0.71,0.0
Aleksa Camur,185.4,188.0,Orthodox,"Sep 25, 1995",6,3,0,4.73,0.57,4.26,0.54,0.46,0.22,0.5,0.0
Aleksandar Rakic,193.0,198.1,Orthodox,"Feb 06, 1992",14,6,0,4.13,0.5,2.86,0.51,0.64,0.21,0.85,0.1
Aleksandre Topuria,170.2,172.7,Orthodox,"Jan 28, 1996",7,1,0,2.93,0.55,2.57,0.68,1.5,0.33,1.0,0.0
Alessandro Costa,162.6,170.2,Orthodox,"Jan 28, 1996",15,5,0,3.73,0.45,3.72,0.56,0.79,0.26,0.86,0.4
Alex Caceres,177.8,185.4,Southpaw,"Jun 20, 1988",21,15,0,4.21,0.49,3.09,0.62,0.54,0.68,0.64,0.7
Alex Morono,180.3,182.9,Orthodox,"Aug 16, 1990",24,13,0,4.9,0.39,4.88,0.55,0.32,0.24,0.47,0.3
Alex Pereira,193.0,200.7,Orthodox,"Jul 07, 1987",13,3,0,5.16,0.62,3.5,0.53,0.11,0.5,0.79,0.2
Alex Perez,167.6,165.1,Orthodox,"Mar 21, 1992",26,10,0,4.41,0.46,3.2,0.59,2.21,0.48,0.75,0.7
Alex Reyes,180.3,185.4,Orthodox,"Oct 02, 1986",13,5,0,4.46,0.46,6.92,0.48,1.5,0.28,0.0,0.0
Alexa Grasso,165.1,167.6,Orthodox,"Aug 09, 1993",17,5,1,4.11,0.41,3.71,0.58,0.4,0.35,0.54,0.7
Alexander Hernandez,175.3,182.9,Orthodox,"Oct 01, 1992",18,8,0,4.31,0.4,4.5,0.59,1.14,0.36,0.73,0.1
Alexander Munoz,175.3,182.9,Switch,"Feb 27, 1990",7,2,0,3.7,0.42,4.73,0.55,3.0,0.4,1.0,0.0
Alexander Volkanovski,167.6,180.3,Orthodox,"Sep 29, 1988",28,4,0,5.99,0.57,3.31,0.58,1.63,0.34,0.68,0.2
Alexander Volkov,200.7,203.2,Orthodox,"Oct 24, 1988",39,11,0,4.78,0.57,2.86,0.53,0.57,0.66,0.68,0.2
Alexandr Romanov,188.0,190.5,Southpaw,"Dec 11, 1990",18,3,0,3.78,0.51,2.13,0.54,4.49,0.55,0.28,0.9
Alexandre Pantoja,165.1,170.2,Orthodox,"Apr 16, 1990",30,6,0,4.38,0.5,3.88,0.49,2.79,0.47,0.69,1.0
Alexia Thainara,162.6,170.2,Orthodox,"Nov 20, 1995",14,1,0,4.62,0.43,2.46,0.59,4.54,0.57,1.0,1.8
Alibi Idiris,167.6,172.7,Orthodox,"Oct 22, 1994",11,1,0,2.51,0.44,2.64,0.6,3.25,0.31,0.66,0.0
Alice Ardelean,160.0,157.5,Orthodox,"Apr 19, 1992",11,7,0,7.35,0.45,5.2,0.62,1.0,0.44,0.85,0.0
Alice Pereira,172.7,180.3,Orthodox,"Dec 20, 2005",7,1,0,2.83,0.36,3.11,0.66,0.0,0.0,0.75,0.0
Aljamain Sterling,170.2,180.3,Orthodox,"Jul 31, 1989",25,5,0,4.45,0.52,2.21,0.59,2.45,0.3,0.44,0.6
Allan Nascimento,172.7,175.3,Orthodox,"Sep 11, 1991",22,6,0,3.06,0.55,2.53,0.52,1.26,0.23,0.37,1.1
Allen Frye Jr.,195.6,203.2,Orthodox,"Apr 15, 1998",6,1,0,2.2,0.38,4.27,0.36,0.0,0.0,0.0,0.0
Alonzo Menifield,182.9,193.0,Orthodox,"Oct 18, 1987",17,6,1,3.77,0.53,3.81,0.5,0.5,0.31,0.78,0.2
Alvin Hines,188.0,188.0,Orthodox,"Oct 20, 1991",7,1,0,5.47,0.31,7.47,0.38,1.0,0.1,0.0,0.0
Amanda Lemos,162.6,165.1,Southpaw,"May 22, 1987",15,6,1,2.75,0.55,3.01,0.45,1.02,0.64,0.63,0.7
Amanda Nunes,172.7,175.3,Orthodox,"May 30, 1988",23,5,0,4.55,0.51,2.62,0.57,2.73,0.54,0.82,0.7
Amanda Ribas,162.6,167.6,Orthodox,"Aug 26, 1993",13,7,0,4.26,0.39,3.29,0.6,2.05,0.52,0.82,0.6
Amir Albazi,165.1,172.7,Orthodox,"Oct 27, 1993",17,3,0,2.47,0.33,3.88,0.59,1.18,0.25,0.62,0.4
Andre Fialho,182.9,188.0,Orthodox,"Apr 07, 1994",16,8,0,3.3,0.41,6.26,0.45,0.25,1.0,0.66,0.0
Andre Fili,180.3,188.0,Orthodox,"Jun 25, 1990",25,13,0,3.88,0.37,4.34,0.5,2.32,0.46,0.71,0.2
Andre Lima,170.2,170.2,Orthodox,"Feb 04, 1999",11,0,0,4.06,0.6,2.49,0.57,1.36,0.75,0.75,1.1
Andre Muniz,185.4,198.1,Southpaw,"Feb 17, 1990",24,8,0,2.08,0.48,2.46,0.51,3.98,0.48,0.35,1.1
Andre Petroski,182.9,185.4,Switch,"Jun 12, 1991",13,6,0,2.81,0.49,2.79,0.53,3.15,0.51,0.86,1.3
Andrea Lee,167.6,175.3,Orthodox,"Feb 11, 1989",13,11,0,4.62,0.45,3.91,0.61,1.65,0.52,0.53,0.6
Andreas Gustafsson,185.4,185.4,Orthodox,"Feb 20, 1991",12,3,0,5.82,0.71,3.63,0.45,6.19,0.58,1.0,0.0
Andrei Arlovski,190.5,195.6,Orthodox,"Feb 04, 1979",34,24,0,3.82,0.45,3.22,0.57,0.37,0.35,0.76,0.2
Andrey Pulyaev,193.0,198.1,Southpaw,"Sep 10, 1997",10,4,0,3.84,0.56,3.14,0.55,0.29,0.16,0.64,0.0
Ange Loosa,177.8,188.0,Orthodox,"Mar 18, 1993",10,5,0,5.46,0.46,6.59,0.52,2.53,0.39,0.83,0.2
Angel Pacheco,172.7,177.8,Orthodox,"Jan 13, 1992",7,4,0,7.58,0.36,10.56,0.41,0.33,0.5,0.16,0.0
Angela Hill,160.0,162.6,Orthodox,"Jan 12, 1985",18,16,0,5.37,0.5,5.02,0.6,0.75,0.3,0.72,0.1
Anshul Jubli,182.9,175.3,Switch,"Jan 13, 1995",7,2,0,6.42,0.46,5.72,0.5,0.81,0.18,0.63,0.4
Ante Delija,190.5,198.1,Orthodox,"Aug 07, 1990",26,8,0,4.28,0.38,3.95,0.52,0.0,0.0,0.75,0.0
Anthony Hernandez,182.9,190.5,Orthodox,"Oct 18, 1993",15,3,0,4.57,0.6,3.1,0.51,5.88,0.48,0.68,1.6
Anthony Smith,193.0,193.0,Orthodox,"Jul 26, 1988",38,22,0,3.19,0.49,5.04,0.44,0.44,0.22,0.5,0.6
Anton Turkalj,193.0,198.1,Orthodox,"Jun 10, 1996",8,4,0,2.45,0.42,3.42,0.54,4.98,0.41,0.16,0.0
Antonio Trocoli,195.6,203.2,Orthodox,"Dec 06, 1990",12,7,0,1.27,0.47,5.3,0.26,0.88,0.09,0.42,0.4
Aoriqileng,170.2,175.3,Orthodox,"Jun 25, 1993",26,12,0,4.69,0.49,5.47,0.48,1.2,0.46,0.58,0.0
Ariane Carnelossi,157.5,154.9,Orthodox,"Nov 17, 1992",15,4,0,2.63,0.38,4.61,0.44,1.08,0.5,0.22,0.2
Ariane da Silva,167.6,170.2,Orthodox,"Jan 26, 1994",17,11,0,4.05,0.41,4.4,0.5,0.47,0.38,0.68,0.3
Arman Tsarukyan,170.2,182.9,Orthodox,"Oct 11, 1996",23,3,0,3.85,0.5,1.8,0.54,3.26,0.37,0.75,0.1
Armen Petrosyan,190.5,180.3,Orthodox,"Nov 03, 1990",9,5,0,5.84,0.53,3.31,0.53,0.17,0.33,0.41,0.0
Arnold Allen,172.7,177.8,Southpaw,"Jan 22, 1994",20,4,0,3.47,0.42,3.04,0.6,0.86,0.47,0.71,0.3
Ashlee Evans-Smith,172.7,170.2,Orthodox,"Jul 09, 1987",6,6,0,4.03,0.34,4.59,0.53,0.95,0.22,0.5,0.0
Ashley Yoder,170.2,175.3,Southpaw,"Oct 20, 1987",8,9,0,3.42,0.39,4.13,0.47,1.09,0.27,0.66,0.6
Asu Almabayev,162.6,165.1,Orthodox,"Jan 25, 1994",23,3,0,2.31,0.5,1.99,0.53,4.46,0.42,0.44,1.5
Ateba Gautier,193.0,205.7,Switch,"Apr 10, 2002",10,1,0,4.44,0.48,2.93,0.52,0.49,1.0,0.92,0.0
Augusto Sakai,190.5,195.6,Orthodox,"May 09, 1991",16,5,1,4.6,0.49,3.83,0.48,0.23,0.4,0.56,0.0
Austen Lane,198.1,203.2,Orthodox,"Nov 09, 1987",13,8,0,2.7,0.5,2.45,0.39,1.5,0.28,0.33,0.0
Austin Bashi,167.6,177.8,Orthodox,"Sep 29, 2001",14,1,0,1.75,0.47,2.34,0.48,7.81,0.41,0.62,1.7
Austin Hubbard,177.8,180.3,Orthodox,"Dec 22, 1991",17,10,0,3.97,0.42,4.1,0.55,1.63,0.28,0.68,0.1
Austin Lingo,177.8,177.8,Orthodox,"Jul 10, 1994",9,3,0,3.86,0.37,4.86,0.57,0.43,0.66,0.75,0.0
Austin Vanderford,180.3,188.0,Orthodox,"Mar 21, 1990",13,3,0,3.04,0.59,2.71,0.48,3.08,0.35,1.0,1.2
Axel Sola,182.9,188.0,Southpaw,"Sep 17, 1997",11,1,1,4.07,0.45,5.29,0.61,2.22,0.36,0.0,0.0
Azamat Bekoev,182.9,182.9,Orthodox,"Dec 30, 1995",20,5,0,4.57,0.52,6.83,0.31,3.48,0.43,0.62,0.0
Azamat Murzakanov,177.8,180.3,Southpaw,"Apr 12, 1989",16,1,0,4.4,0.56,3.2,0.56,0.68,0.2,0.88,0.2
Azat Maksum,170.2,177.8,Southpaw,"Feb 02, 1995",15,3,0,2.75,0.27,4.25,0.52,3.5,0.31,0.85,0.2
Baergeng Jieleyisi,175.3,180.3,Orthodox,"Nov 24, 1995",18,7,0,1.61,0.35,2.62,0.52,1.73,0.38,0.78,0.2
Baisangur Susurkaev,188.0,200.7,Orthodox,"Jan 08, 2001",11,0,0,4.56,0.59,3.78,0.53,2.76,0.28,1.0,0.7
Bassil Hafez,180.3,182.9,Orthodox,"Jan 31, 1992",9,4,1,3.71,0.38,5.68,0.41,2.21,0.24,0.5,0.0
Batgerel Danaa,170.2,177.8,Orthodox,"Jul 04, 1989",12,5,0,5.38,0.36,4.21,0.47,0.52,0.5,0.62,0.0
Bekzat Almakhan,170.2,172.7,Orthodox,"Oct 08, 1997",12,3,0,1.61,0.34,3.73,0.36,0.0,0.0,0.41,0.0
Belal Muhammad,180.3,182.9,Orthodox,"Jul 09, 1988",24,5,0,4.43,0.43,3.82,0.55,2.14,0.36,0.9,0.1
Benardo Sopaj,167.6,167.6,Orthodox,"Sep 25, 2000",12,3,0,4.24,0.56,4.88,0.49,2.53,0.71,0.76,0.0
Beneil Dariush,177.8,182.9,Southpaw,"May 06, 1989",23,7,1,3.78,0.49,2.62,0.57,2.11,0.38,0.82,0.8
Benoit Saint Denis,180.3,185.4,Southpaw,"Dec 18, 1995",17,3,0,5.62,0.58,4.09,0.42,4.19,0.35,0.72,1.8
Bia Mesquita,162.6,170.2,Orthodox,"Apr 07, 1991",7,0,0,5.78,0.6,0.64,0.8,4.81,0.75,0.0,3.2
Bill Algeo,182.9,185.4,Switch,"Jun 09, 1989",18,9,0,5.88,0.51,4.38,0.47,1.03,0.5,0.55,0.1
Billy Elekana,190.5,195.6,Southpaw,"May 28, 1995",10,2,0,2.71,0.56,3.59,0.46,0.85,0.22,0.0,0.8
Billy Quarantillo,177.8,177.8,Orthodox,"Dec 08, 1988",18,7,0,7.44,0.54,5.83,0.42,1.47,0.24,0.61,1.0
Billy Ray Goff,177.8,182.9,Switch,"Jun 18, 1998",9,4,0,7.51,0.46,5.02,0.59,1.75,0.16,0.66,0.0
Blagoy Ivanov,180.3,185.4,Southpaw,"Oct 09, 1986",19,6,0,3.25,0.4,4.2,0.53,0.69,0.4,0.61,0.1
Blake Bilder,172.7,172.7,Switch,"Jul 12, 1990",8,2,1,3.81,0.48,4.15,0.53,0.31,0.07,0.71,0.6
Blood Diamond,180.3,193.0,Switch,"Jul 10, 1988",3,3,0,3.12,0.55,2.17,0.48,0.0,0.0,0.73,0.0
Bo Nickal,185.4,193.0,Southpaw,"Jan 14, 1996",8,1,0,3.35,0.61,2.07,0.59,3.1,0.55,1.0,2.5
Bogdan Grad,172.7,177.8,Orthodox,"Sep 28, 1995",15,4,0,4.06,0.51,5.06,0.49,4.22,0.4,0.75,0.0
Bogdan Guskov,190.5,193.0,Orthodox,"Sep 12, 1992",18,3,1,4.57,0.55,4.09,0.44,0.0,0.0,0.57,0.7
Bolaji Oki,177.8,185.4,Orthodox,"Nov 15, 1995",10,4,0,6.42,0.45,5.12,0.61,1.02,0.57,0.75,0.0
Brad Katona,167.6,162.6,Orthodox,"Dec 19, 1991",16,5,0,4.81,0.52,4.75,0.5,1.86,0.34,0.61,0.0
Brad Tavares,185.4,188.0,Orthodox,"Dec 21, 1987",21,13,0,3.41,0.43,3.32,0.54,0.7,0.26,0.8,0.0
Brady Hiestand,172.7,180.3,Orthodox,"Apr 30, 1999",9,2,0,2.7,0.5,3.75,0.51,4.8,0.46,0.42,1.1
Brando Pericic,195.6,200.7,Orthodox,"Aug 03, 1994",6,1,0,12.91,0.64,3.23,0.55,0.0,0.0,0.8,0.0
Brandon Moreno,170.2,177.8,Orthodox,"Dec 07, 1993",23,10,2,3.84,0.44,3.64,0.59,1.36,0.39,0.65,0.4
Brandon Royval,175.3,172.7,Southpaw,"Aug 16, 1992",17,9,0,5.54,0.41,4.25,0.43,0.65,0.75,0.45,1.1
Braxton Smith,180.3,182.9,Orthodox,"Jan 01, 1990",5,2,0,6.46,0.48,11.54,0.32,0.0,0.0,1.0,0.0
Brendan Allen,188.0,190.5,Orthodox,"Dec 28, 1995",26,7,0,3.59,0.53,3.62,0.47,1.56,0.42,0.56,1.1
Brendon Marotte,175.3,177.8,Orthodox,"Jan 12, 1996",8,3,0,0.41,0.5,5.7,0.28,0.0,0.0,0.0,0.0
Brendson Ribeiro,190.5,205.7,Orthodox,"Sep 08, 1996",17,10,0,3.04,0.42,3.91,0.53,0.85,0.42,0.21,0.6
Brian Kelleher,167.6,167.6,Switch,"Aug 19, 1986",24,16,0,3.31,0.41,4.59,0.54,1.68,0.41,0.6,0.7
Brian Ortega,172.7,175.3,Switch,"Feb 21, 1991",16,5,0,3.84,0.37,6.38,0.49,0.93,0.25,0.54,0.9
Brogan Walker,162.6,170.2,Switch,"Aug 02, 1988",8,5,0,1.84,0.32,3.32,0.47,1.02,0.75,0.11,0.0
Bruna Brasil,167.6,165.1,Orthodox,"Sep 07, 1993",11,7,1,2.56,0.57,3.75,0.52,1.23,0.52,0.57,0.1
Brunno Ferreira,177.8,182.9,Orthodox,"Nov 04, 1992",15,3,0,3.77,0.5,3.91,0.51,1.25,0.23,0.61,0.8
Bruno Lopes,188.0,188.0,Orthodox,"Apr 24, 1993",14,3,0,2.88,0.43,4.21,0.54,1.93,0.21,1.0,0.0
Bruno Silva,182.9,188.0,Orthodox,"Jul 13, 1989",23,13,0,3.86,0.48,5.35,0.41,0.77,0.22,0.74,0.0
Bryan Barberena,182.9,182.9,Southpaw,"May 03, 1989",18,12,0,5.35,0.48,4.59,0.44,0.13,0.22,0.5,0.3
Bryan Battle,185.4,195.6,Orthodox,"Sep 21, 1994",13,2,0,5.12,0.52,4.11,0.44,0.77,0.17,0.53,0.4
Bryce Mitchell,177.8,177.8,Southpaw,"Oct 04, 1994",18,4,0,2.27,0.59,1.6,0.58,3.24,0.36,0.33,1.2
CJ Vergara,167.6,172.7,Orthodox,"Jun 18, 1991",12,7,1,5.02,0.56,4.69,0.53,0.0,0.0,0.6,0.2
Caio Borralho,185.4,190.5,Southpaw,"Jan 16, 1993",18,2,0,3.47,0.56,2.61,0.6,1.25,0.5,0.76,0.4
Caio Machado,193.0,198.1,Southpaw,"Jul 20, 1994",8,4,1,5.82,0.53,2.87,0.63,0.0,0.0,0.82,0.0
Calvin Kattar,180.3,182.9,Orthodox,"Mar 26, 1988",23,10,0,4.41,0.37,6.55,0.54,0.34,0.29,0.77,0.1
Cam Rowston,190.5,198.1,Orthodox,"Jan 19, 1995",14,3,0,4.26,0.46,2.62,0.51,0.5,0.5,0.33,0.5
Cameron Saaiman,172.7,170.2,Southpaw,"Dec 20, 2000",9,3,0,5.3,0.46,4.14,0.51,0.89,0.28,0.47,0.7
Cameron Smotherman,175.3,175.3,Orthodox,"Sep 17, 1997",12,6,0,4.07,0.37,3.52,0.58,0.0,0.0,0.62,0.0
Caolan Loughran,167.6,172.7,Orthodox,"May 18, 1996",10,2,0,4.73,0.42,5.2,0.52,3.0,0.34,0.87,0.0
Carl Deaton,170.2,175.3,Orthodox,"Nov 24, 1989",17,7,0,1.53,0.31,1.85,0.61,0.0,0.0,0.5,0.0
Carla Esparza,154.9,160.0,Orthodox,"Oct 10, 1987",20,8,0,2.19,0.39,2.87,0.54,3.28,0.36,0.47,0.3
Carli Judice,170.2,172.7,Southpaw,"Mar 02, 1999",6,2,0,9.32,0.5,6.62,0.57,0.52,0.25,0.8,0.0
Carlos Hernandez,172.7,170.2,Orthodox,"Oct 25, 1993",10,5,0,3.83,0.45,3.5,0.5,1.56,0.21,0.65,0.2
Carlos Leal,180.3,188.0,Orthodox,"May 04, 1994",23,7,0,8.75,0.47,7.78,0.48,0.43,0.11,0.9,0.0
Carlos Prates,185.4,198.1,Switch,"Aug 17, 1993",23,7,0,3.77,0.55,4.53,0.47,0.21,1.0,0.8,0.0
Carlos Ulberg,193.0,195.6,Orthodox,"Nov 07, 1990",15,1,0,6.57,0.55,4.03,0.51,0.53,0.6,0.85,0.2
Carlos Vera,167.6,175.3,Orthodox,"Nov 05, 1987",12,4,0,1.53,0.57,2.79,0.49,0.0,0.0,0.25,1.6
Carlston Harris,182.9,193.0,Orthodox,"Jul 09, 1987",19,7,0,3.79,0.43,3.46,0.54,1.46,0.22,0.55,0.6
Casey O'Neill,167.6,175.3,Orthodox,"Oct 07, 1997",11,2,0,7.89,0.52,5.53,0.57,1.4,0.34,0.7,0.7
Cesar Almeida,185.4,188.0,Orthodox,"Mar 28, 1988",7,2,0,3.46,0.58,2.03,0.46,0.0,0.0,0.52,0.2
Cezary Oleksiejczuk,190.5,190.5,Southpaw,"Jan 06, 2000",17,3,0,1.99,0.86,0.77,0.47,5.77,0.85,1.0,0.0
Chad Anheliger,167.6,162.6,Orthodox,"Dec 01, 1986",13,8,0,3.11,0.46,2.76,0.53,0.68,0.3,0.38,0.5
Chan Sung Jung,170.2,182.9,Orthodox,"Mar 17, 1987",17,8,0,3.93,0.41,4.52,0.52,0.7,0.44,0.72,0.6
ChangHo Lee,172.7,175.3,Orthodox,"May 09, 1994",11,2,0,3.88,0.66,2.13,0.37,3.2,0.34,0.4,0.3
Charalampos Grigoriou,170.2,170.2,Orthodox,"Mar 31, 1992",8,5,0,2.62,0.48,3.97,0.46,2.62,0.8,0.9,0.0
Charles Johnson,175.3,177.8,Switch,"Jan 10, 1991",19,8,0,4.77,0.49,4.02,0.55,0.51,0.16,0.69,0.3
Charles Jourdain,175.3,175.3,Switch,"Nov 27, 1995",18,8,1,5.36,0.49,4.11,0.56,0.38,0.21,0.46,0.6
Charles Oliveira,177.8,188.0,Orthodox,"Oct 17, 1989",37,11,0,3.23,0.55,3.05,0.48,2.29,0.39,0.54,2.6
Charles Radtke,175.3,182.9,Orthodox,"Jul 09, 1990",12,5,0,2.5,0.53,2.45,0.54,1.99,0.44,1.0,0.5
