fighter,height_cm,reach_cm,stance,dob,wins,losses,draws,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg
Charlie Campbell,182.9,182.9,Orthodox,"Jul 03, 1995",9,3,0,5.23,0.51,4.17,0.55,2.45,0.36,0.62,0.0
Chase Hooper,185.4,188.0,Southpaw,"Sep 13, 1999",16,5,1,4.5,0.49,3.02,0.39,2.43,0.32,0.55,2.1
Chase Sherman,193.0,198.1,Orthodox,"Nov 16, 1989",16,12,0,6.04,0.45,6.65,0.52,0.09,0.5,0.74,0.0
Chelsea Chandler,172.7,172.7,Southpaw,"Nov 23, 1990",6,4,0,3.55,0.45,4.44,0.4,0.87,0.6,0.28,0.0
Chepe Mariscal,170.2,175.3,Orthodox,"Oct 27, 1992",18,7,0,4.14,0.55,2.66,0.52,2.34,0.39,0.59,0.2
Chidi Njokuani,190.5,203.2,Orthodox,"Dec 31, 1988",25,12,0,5.16,0.61,3.32,0.57,0.0,0.0,0.75,0.1
Chris Barnett,175.3,190.5,Orthodox,"Jun 14, 1986",23,10,0,3.36,0.47,6.55,0.36,0.0,0.0,0.35,0.0
Chris Curtis,177.8,190.5,Orthodox,"Jul 15, 1987",32,13,0,5.52,0.5,5.75,0.54,0.0,0.0,0.64,0.0
Chris Daukaus,190.5,193.0,Orthodox,"Sep 25, 1989",12,7,0,6.05,0.5,4.64,0.55,0.0,0.0,1.0,0.0
Chris Duncan,177.8,180.3,Orthodox,"May 10, 1993",15,3,0,4.83,0.45,4.57,0.5,2.92,0.4,0.55,0.6
Chris Gutierrez,175.3,170.2,Orthodox,"Apr 22, 1991",22,7,2,4.4,0.57,2.65,0.63,0.3,0.3,0.67,0.1
Chris Padilla,175.3,188.0,Orthodox,"Sep 14, 1995",17,6,1,6.19,0.54,4.88,0.49,1.13,0.28,0.8,0.3
Chris Weidman,188.0,198.1,Orthodox,"Jun 17, 1984",16,8,0,3.11,0.45,3.37,0.51,3.27,0.42,0.72,0.8
Christian Leroy Duncan,188.0,200.7,Switch,"Jul 24, 1995",14,2,0,4.43,0.57,2.59,0.52,0.33,0.16,0.63,0.0
Christian Rodriguez,170.2,180.3,Orthodox,"Dec 17, 1997",12,4,0,3.85,0.5,2.85,0.56,1.75,0.4,0.67,1.1
Christos Giagos,177.8,180.3,Orthodox,"Jan 23, 1990",20,12,0,3.03,0.41,3.21,0.5,2.84,0.36,0.52,0.4
Ciryl Gane,193.0,205.7,Orthodox,"Apr 12, 1990",13,2,0,5.29,0.61,2.33,0.6,0.68,0.25,0.47,0.6
Claudio Puelles,177.8,182.9,Southpaw,"Apr 21, 1996",13,5,0,1.54,0.46,2.62,0.48,3.29,0.33,0.6,1.0
Claudio Ribeiro,185.4,195.6,Orthodox,"Jul 17, 1992",11,5,0,3.59,0.51,4.9,0.3,0.56,0.5,0.66,0.0
Clay Guida,170.2,177.8,Orthodox,"Dec 08, 1981",38,22,0,2.63,0.33,3.0,0.61,3.1,0.35,0.66,0.6
Clayton Carpenter,167.6,167.6,Orthodox,"Jun 09, 1996",8,2,0,3.66,0.53,2.57,0.55,1.99,0.46,0.37,1.3
Cody Brundage,182.9,182.9,Orthodox,"May 16, 1994",11,9,1,2.26,0.48,3.02,0.5,1.88,0.41,0.68,0.5
Cody Durden,170.2,170.2,Southpaw,"Mar 29, 1991",17,10,1,3.34,0.44,4.19,0.5,3.89,0.46,0.6,0.6
Cody Garbrandt,172.7,165.1,Orthodox,"Jul 07, 1991",15,7,0,2.79,0.4,3.66,0.58,0.85,0.22,0.81,0.0
Cody Gibson,177.8,180.3,Orthodox,"Sep 11, 1987",22,12,0,3.63,0.46,3.22,0.57,2.12,0.37,0.69,0.6
Cody Haddon,170.2,175.3,Orthodox,"Sep 08, 1998",8,1,0,9.2,0.51,3.47,0.64,2.48,0.37,0.83,0.8
Cody Stamann,167.6,162.6,Orthodox,"Nov 09, 1989",21,8,1,4.32,0.46,3.91,0.6,2.17,0.37,0.76,0.0
Colby Covington,180.3,182.9,Orthodox,"Feb 22, 1988",17,5,0,3.81,0.38,3.09,0.54,3.64,0.42,0.68,0.2
Colby Thicknesse,170.2,175.3,Orthodox,"Jun 23, 1999",8,1,0,3.33,0.42,2.8,0.5,1.0,0.09,0.5,0.5
Connor Matthews,172.7,180.3,Switch,"May 31, 1992",7,4,0,4.82,0.43,6.06,0.55,3.24,0.55,0.46,0.7
Cortavious Romious,162.6,172.7,Southpaw,"Jan 06, 1994",9,4,0,1.91,0.38,3.46,0.39,2.29,0.66,0.64,0.8
Cory McKenna,160.0,147.3,Orthodox,"Jul 11, 1999",8,4,0,2.94,0.38,3.68,0.46,2.0,0.47,0.75,0.4
Cory Sandhagen,180.3,177.8,Switch,"Apr 20, 1992",18,6,0,4.86,0.45,3.47,0.56,1.15,0.34,0.56,0.2
Court McGee,180.3,190.5,Orthodox,"Dec 12, 1984",23,14,0,4.5,0.36,3.65,0.6,1.78,0.24,0.7,0.5
Cristian Quinonez,172.7,177.8,Orthodox,"Apr 26, 1996",19,5,0,3.67,0.43,3.71,0.56,3.14,0.55,0.85,0.6
Cub Swanson,172.7,177.8,Orthodox,"Nov 02, 1983",31,14,0,4.84,0.51,3.99,0.59,1.0,0.5,0.63,0.4
Curtis Blaydes,193.0,203.2,Orthodox,"Feb 18, 1991",19,6,0,4.18,0.52,2.76,0.53,5.12,0.47,0.35,0.0
Cynthia Calvillo,162.6,162.6,Orthodox,"Jul 13, 1987",9,6,1,4.41,0.38,4.12,0.64,1.8,0.44,0.77,0.8
Da Woon Jung,193.0,198.1,Orthodox,"Dec 07, 1993",15,6,1,3.24,0.4,4.23,0.49,1.59,0.47,0.75,0.2
Da'Mon Blackshear,177.8,182.9,Switch,"Aug 12, 1994",17,8,1,4.33,0.45,4.19,0.52,1.48,0.33,0.71,1.5
Damian Pinas,185.4,200.7,Orthodox,"Mar 12, 2002",9,1,0,7.5,0.56,3.75,0.56,0.0,0.0,1.0,0.0
Damir Hadzovic,175.3,177.8,Orthodox,"Aug 08, 1986",14,8,0,3.34,0.47,3.74,0.59,0.91,0.54,0.34,0.1
Damir Ismagulov,177.8,188.0,Orthodox,"Feb 03, 1991",24,3,0,3.36,0.42,2.44,0.61,1.0,0.28,0.7,0.0
Damon Jackson,180.3,180.3,Switch,"Aug 08, 1988",23,8,1,2.96,0.42,3.47,0.49,2.3,0.32,0.37,1.2
Dan Argueta,170.2,172.7,Southpaw,"Aug 13, 1993",9,3,0,2.48,0.43,3.44,0.5,4.36,0.35,0.55,1.4
Dan Hooker,182.9,190.5,Switch,"Feb 13, 1990",24,14,0,4.82,0.48,4.94,0.49,0.68,0.33,0.77,0.6
Dan Ige,170.2,180.3,Orthodox,"Aug 06, 1991",19,11,0,3.6,0.45,3.56,0.56,0.93,0.26,0.56,0.2
Daniel Barez,167.6,167.6,Orthodox,"Dec 10, 1988",17,7,0,3.65,0.49,5.95,0.5,1.93,0.28,0.8,0.6
Daniel Frunza,185.4,185.4,Orthodox,"Apr 13, 1994",9,4,0,3.25,0.38,4.32,0.5,0.0,0.0,0.5,0.0
Daniel Lacerda,167.6,177.8,Switch,"Jun 05, 1996",11,6,0,3.95,0.45,8.28,0.34,2.32,0.5,0.0,1.2
Daniel Marcos,170.2,175.3,Orthodox,"Mar 07, 1993",18,1,0,4.9,0.53,3.79,0.61,1.35,0.52,0.85,0.1
Daniel Pineda,170.2,175.3,Orthodox,"Aug 06, 1985",28,17,0,2.85,0.49,3.26,0.45,1.42,0.24,0.54,1.5
Daniel Rodriguez,185.4,188.0,Southpaw,"Dec 31, 1986",20,5,0,7.2,0.49,5.4,0.57,0.51,0.5,0.64,0.1
Daniel Santos,170.2,170.2,Orthodox,"Mar 12, 1995",14,2,0,4.76,0.4,5.03,0.51,3.01,0.4,0.73,0.0
Daniel Zellhuber,185.4,195.6,Switch,"Jul 07, 1999",15,4,0,5.45,0.38,6.17,0.54,0.14,0.25,0.81,0.3
Daniil Donchenko,180.3,180.3,Orthodox,"Aug 04, 2001",14,2,0,7.15,0.6,2.57,0.72,0.77,0.33,0.75,0.0
Danny Barlow,188.0,200.7,Southpaw,"Aug 02, 1995",9,2,0,5.81,0.51,4.65,0.52,0.0,0.0,1.0,0.0
Danny Roberts,185.4,188.0,Southpaw,"Jul 14, 1987",18,8,0,3.18,0.39,3.73,0.5,0.24,0.09,0.57,0.2
Danny Silva,170.2,175.3,Switch,"Jan 30, 1997",11,2,0,6.35,0.54,7.1,0.61,2.06,0.36,0.75,0.2
Daria Zhelezniakova,175.3,172.7,Orthodox,"Jan 23, 1996",10,3,0,4.13,0.4,3.38,0.64,0.31,1.0,0.5,0.0
Darren Elkins,177.8,180.3,Orthodox,"May 16, 1984",29,12,0,3.4,0.38,3.34,0.51,2.87,0.34,0.56,1.1
Darrius Flowers,175.3,180.3,Orthodox,"Aug 25, 1994",13,8,1,3.13,0.5,5.35,0.42,1.65,0.44,0.66,0.4
Davey Grant,172.7,175.3,Orthodox,"Dec 18, 1985",17,8,0,5.14,0.44,3.82,0.55,1.03,0.4,0.63,0.2
David Dvorak,165.1,172.7,Orthodox,"Jun 05, 1992",20,6,0,3.48,0.43,3.29,0.59,0.58,0.3,0.7,0.2
David Martinez,165.1,170.2,Orthodox,"Aug 03, 1998",14,1,0,4.82,0.46,2.9,0.69,0.6,0.25,1.0,0.0
David Onama,180.3,188.0,Orthodox,"Jun 07, 1994",14,3,0,5.07,0.5,4.89,0.51,1.05,0.3,0.52,0.5
Deiveson Figueiredo,165.1,172.7,Orthodox,"Dec 18, 1987",25,6,1,2.63,0.53,3.47,0.49,1.61,0.35,0.57,1.2
Denis Tiuliulin,185.4,195.6,Orthodox,"May 17, 1988",10,10,0,3.61,0.41,5.23,0.38,0.96,0.42,0.72,0.0
Denise Gomes,157.5,160.0,Orthodox,"Dec 30, 1999",12,3,0,4.43,0.49,3.16,0.51,1.45,0.34,0.66,0.7
Dennis Buzukja,175.3,177.8,Switch,"Oct 01, 1997",12,6,0,4.21,0.43,4.79,0.48,0.62,0.27,0.75,0.2
Denys Bondar,167.6,175.3,Orthodox,"Jun 27, 1992",14,5,0,4.59,0.5,5.16,0.56,3.99,0.58,0.62,0.0
Denzel Freeman,185.4,195.6,Southpaw,"Nov 10, 1991",7,2,0,2.45,0.56,3.4,0.5,0.0,0.0,0.5,0.0
Derek Brunson,185.4,195.6,Southpaw,"Jan 04, 1984",23,9,0,3.51,0.47,3.05,0.51,3.14,0.33,0.85,0.6
Derrick Lewis,190.5,200.7,Orthodox,"Feb 07, 1985",29,13,0,2.46,0.49,2.57,0.39,0.55,0.26,0.52,0.0
Devin Clark,182.9,190.5,Orthodox,"Apr 12, 1990",14,9,0,3.03,0.54,3.24,0.44,2.17,0.32,0.58,0.1
Diana Belbita,170.2,172.7,Orthodox,"Jun 26, 1996",15,10,0,6.45,0.41,6.55,0.51,0.86,0.62,0.64,0.0
Diego Ferreira,175.3,188.0,Orthodox,"Jan 18, 1985",19,7,0,4.7,0.39,3.46,0.55,0.82,0.3,0.57,0.6
Diego Lopes,180.3,182.9,Orthodox,"Dec 30, 1994",27,8,0,3.83,0.47,4.56,0.45,0.88,0.5,0.68,1.4
Dione Barbosa,167.6,167.6,Orthodox,"May 08, 1992",9,4,0,2.21,0.45,2.4,0.64,2.4,0.44,0.63,1.7
Diyar Nurgozhay,188.0,188.0,Southpaw,"Apr 22, 1997",11,2,0,4.52,0.59,2.81,0.61,1.37,0.75,0.8,0.0
Djorden Santos,182.9,190.5,Orthodox,"Aug 01, 1997",11,2,0,7.0,0.44,5.98,0.48,0.67,0.33,0.86,0.0
Dom Mar Fan,180.3,190.5,Orthodox,"Mar 19, 2000",9,2,0,3.71,0.56,2.49,0.44,2.0,0.5,0.66,0.3
Dominick Reyes,193.0,195.6,Southpaw,"Dec 26, 1989",16,5,0,4.99,0.53,3.4,0.49,0.25,0.28,0.82,0.2
Don Shainis,167.6,170.2,Orthodox,"Sep 16, 1990",12,5,0,3.42,0.5,5.87,0.31,0.97,0.25,0.2,1.9
Don'Tale Mayes,198.1,205.7,Orthodox,"Jan 16, 1992",11,9,0,3.22,0.43,3.61,0.46,0.59,0.38,0.46,0.0
DongHun Choi,165.1,167.6,Switch,"Jan 02, 1999",9,0,0,4.54,0.66,3.13,0.58,0.46,0.14,0.81,0.0
Donte Johnson,172.7,188.0,Southpaw,"Jan 25, 1999",8,0,0,3.11,0.48,2.0,0.61,2.0,1.0,0.75,0.7
Dooho Choi,177.8,177.8,Orthodox,"Apr 10, 1991",16,4,1,4.67,0.56,4.02,0.56,1.43,0.53,0.47,0.6
Douglas Silva de Andrade,170.2,172.7,Orthodox,"Jun 22, 1985",29,7,0,3.54,0.38,4.09,0.56,0.54,0.42,0.71,0.2
Drakkar Klose,175.3,177.8,Orthodox,"Mar 09, 1988",16,3,1,4.25,0.55,3.65,0.49,1.49,0.26,0.69,0.0
Drew Dober,172.7,177.8,Southpaw,"Oct 19, 1988",29,15,0,4.48,0.41,4.33,0.53,0.61,0.16,0.58,0.1
Dricus Du Plessis,185.4,193.0,Switch,"Jan 14, 1994",23,3,0,5.18,0.48,4.33,0.52,2.22,0.51,0.34,0.7
Dusko Todorovic,185.4,188.0,Orthodox,"May 19, 1994",13,6,0,4.73,0.57,4.4,0.48,1.77,0.21,0.42,0.3
Dustin Jacoby,190.5,193.0,Orthodox,"Apr 04, 1988",22,9,1,5.4,0.48,3.92,0.57,0.32,0.25,0.62,0.0
Dustin Poirier,175.3,182.9,Southpaw,"Jan 19, 1989",30,10,0,5.24,0.5,4.57,0.52,1.15,0.35,0.64,1.2
Dustin Stoltzfus,182.9,190.5,Orthodox,"Nov 15, 1991",16,8,0,3.3,0.45,3.23,0.47,2.08,0.37,0.46,1.1
Dylan Budka,182.9,190.5,Switch,"Jan 14, 2000",7,5,0,1.06,0.38,1.8,0.42,1.93,0.38,0.76,0.4
Ed Herman,185.4,195.6,Orthodox,"Oct 02, 1980",27,16,0,3.31,0.48,3.71,0.42,1.96,0.47,0.59,1.0
Edgar Chairez,170.2,180.3,Orthodox,"Jan 27, 1996",13,6,0,3.65,0.45,4.75,0.46,0.0,0.0,0.38,1.3
Edmen Shahbazyan,188.0,190.5,Orthodox,"Nov 20, 1997",16,5,0,3.8,0.48,3.6,0.49,1.62,0.37,0.66,0.4
Edson Barboza,180.3,190.5,Orthodox,"Jan 21, 1986",24,14,0,4.14,0.44,4.68,0.55,0.43,0.5,0.73,0.1
Eduarda Moura,167.6,170.2,Orthodox,"Feb 28, 1994",12,2,0,2.57,0.37,2.5,0.58,3.58,0.34,0.8,0.4
Elijah Smith,175.3,180.3,Orthodox,"Sep 05, 2002",10,1,0,4.18,0.48,2.96,0.46,2.98,0.53,0.53,1.1
Elise Reed,160.0,160.0,Orthodox,"Dec 05, 1992",8,5,0,3.41,0.53,3.26,0.51,0.46,0.6,0.53,0.0
Elisha Ellison,182.9,198.1,Orthodox,"Mar 05, 1997",5,2,0,1.57,0.33,15.13,0.4,0.0,0.0,0.0,0.0
Elizeu Zaleski dos Santos,180.3,185.4,Orthodox,"Dec 11, 1986",25,10,1,4.16,0.41,3.56,0.55,0.79,0.2,0.67,0.4
Elves Brener,177.8,182.9,Orthodox,"Sep 27, 1997",16,6,0,4.76,0.47,5.86,0.5,0.99,0.16,0.76,0.0
Emily Ducote,157.5,160.0,Orthodox,"Jan 01, 1994",13,9,0,7.45,0.52,7.84,0.57,0.2,0.14,0.94,0.0
Eric McConico,182.9,195.6,Southpaw,"May 09, 1990",10,4,1,2.61,0.43,3.23,0.46,0.0,0.0,0.64,0.0
Eric Nolan,188.0,188.0,Orthodox,"Sep 13, 1997",8,4,0,3.14,0.39,5.13,0.41,0.0,0.0,0.71,0.0
Erick Gonzalez,180.3,190.5,Orthodox,"Jan 20, 1992",14,8,0,2.4,0.36,8.08,0.4,6.0,0.55,0.5,0.0
Erik Silva,175.3,180.3,Orthodox,"Mar 16, 1987",9,4,0,2.06,0.67,1.52,0.4,3.26,0.8,0.6,0.0
Erin Blanchfield,162.6,167.6,Orthodox,"May 04, 1999",14,2,0,5.24,0.44,4.25,0.58,1.96,0.34,0.78,0.9
Ernesta Kareckaite,175.3,180.3,Orthodox,"Jul 05, 1998",6,2,1,7.28,0.42,6.47,0.49,0.75,0.6,0.81,0.0
Eryk Anders,185.4,190.5,Southpaw,"Apr 21, 1987",18,9,0,3.44,0.47,4.03,0.5,1.83,0.25,0.8,0.1
Esteban Ribovics,177.8,175.3,Orthodox,"Apr 27, 1996",15,3,0,7.27,0.43,5.83,0.54,0.35,0.66,0.66,0.2
Ethyn Ewing,167.6,175.3,Orthodox,"Feb 19, 1996",10,2,0,7.44,0.55,4.53,0.63,1.68,0.6,1.0,0.0
Evan Elder,177.8,182.9,Switch,"Apr 11, 1997",10,2,0,5.66,0.5,4.94,0.57,0.48,0.15,0.4,0.5
Fares Ziam,185.4,190.5,Orthodox,"Mar 21, 1997",18,4,0,2.87,0.52,1.53,0.65,1.73,0.4,0.71,0.5
Farid Basharat,172.7,180.3,Orthodox,"Aug 02, 1997",15,0,0,4.25,0.52,2.89,0.62,3.34,0.44,0.54,0.3
Fatima Kline,167.6,170.2,Orthodox,"Jul 12, 2000",9,1,0,5.01,0.5,2.71,0.57,2.02,0.58,0.5,0.0
Felipe Bunes,170.2,175.3,Orthodox,"Oct 29, 1989",14,9,0,3.17,0.46,4.57,0.47,1.08,0.25,0.4,1.4
Felipe Franco,185.4,193.0,Orthodox,"Jan 22, 2001",10,2,0,1.81,0.5,2.55,0.38,3.02,0.37,0.87,0.0
Felipe Lima,167.6,172.7,Orthodox,"May 07, 1998",14,2,0,2.86,0.45,2.91,0.64,2.18,0.27,0.85,0.7
Felipe dos Santos,170.2,177.8,Orthodox,"Sep 11, 2000",8,3,0,3.75,0.39,3.8,0.41,0.0,0.0,0.2,0.5
Feng Xiaocan,170.2,170.2,Southpaw,"Oct 27, 2001",10,4,0,4.18,0.49,1.49,0.68,0.7,1.0,0.63,0.0
Fernando Padilla,185.4,193.0,Orthodox,"Dec 15, 1996",16,6,0,6.07,0.4,5.74,0.52,0.0,0.0,1.0,0.6
Fernie Garcia,170.2,170.2,Orthodox,"Apr 12, 1992",10,5,0,2.04,0.34,3.79,0.48,0.28,0.5,0.5,0.6
Francis Marshall,175.3,182.9,Orthodox,"Mar 03, 1999",9,3,0,3.39,0.33,4.03,0.53,2.86,0.45,0.66,0.6
Francisco Prado,177.8,175.3,Orthodox,"Jun 16, 2002",12,5,0,3.68,0.43,4.31,0.54,0.76,0.19,0.4,0.8
Gabe Green,177.8,185.4,Switch,"May 02, 1993",12,5,0,5.6,0.45,6.19,0.47,0.71,0.5,0.5,0.5
Gabriel Benitez,172.7,180.3,Southpaw,"Jun 15, 1988",23,13,0,5.26,0.41,4.49,0.63,0.22,0.5,0.55,0.9
Gabriel Bonfim,185.4,182.9,Orthodox,"Aug 20, 1997",19,1,0,4.61,0.46,3.68,0.63,3.6,0.55,0.76,1.4
Gabriel Miranda,180.3,180.3,Orthodox,"Mar 25, 1990",17,8,0,3.23,0.43,6.01,0.37,4.75,0.38,0.0,1.9
Gabriel Santos,175.3,177.8,Orthodox,"Nov 28, 1996",12,2,0,4.35,0.6,4.31,0.45,3.8,0.54,0.87,1.2
Gabriella Fernandes,167.6,167.6,Southpaw,"Aug 13, 1993",11,4,0,3.51,0.46,5.31,0.53,0.42,0.18,0.68,0.2
Garrett Armfield,167.6,177.8,Orthodox,"Oct 09, 1996",10,5,0,5.35,0.53,3.64,0.56,1.1,0.5,0.64,0.6
Gaston Bolanos,170.2,175.3,Orthodox,"Sep 14, 1992",8,5,0,3.28,0.49,2.4,0.5,0.66,1.0,0.42,0.0
Gauge Young,175.3,177.8,Orthodox,"Jul 14, 2000",11,3,0,6.32,0.52,5.12,0.49,0.75,0.3,0.76,0.0
Gavin Tucker,167.6,167.6,Southpaw,"Jun 17, 1986",13,3,0,4.29,0.44,4.18,0.57,3.13,0.44,0.53,1.5
Genaro Valdez,175.3,182.9,Orthodox,"Jan 16, 1992",10,3,0,4.08,0.3,7.16,0.48,1.54,0.44,0.36,0.4
Geoff Neal,180.3,190.5,Southpaw,"Aug 28, 1990",16,8,0,5.02,0.5,5.5,0.57,0.54,0.45,0.87,0.1
Gerald Meerschaert,185.4,195.6,Southpaw,"Dec 18, 1987",37,21,0,3.01,0.45,3.52,0.53,1.82,0.3,0.42,1.4
Germaine de Randamie,175.3,180.3,Orthodox,"Apr 24, 1984",10,5,0,2.57,0.46,2.0,0.65,0.0,0.0,0.65,0.4
Gianni Vazquez,170.2,180.3,Orthodox,"Jul 17, 1994",13,5,1,1.6,0.22,3.93,0.39,0.0,0.0,0.62,2.0
Giga Chikadze,182.9,188.0,Orthodox,"Aug 25, 1988",15,6,0,3.75,0.42,3.47,0.59,0.18,0.33,0.65,0.2
Gilbert Burns,177.8,180.3,Orthodox,"Jul 20, 1986",22,10,0,3.16,0.48,3.68,0.52,2.04,0.35,0.53,0.4
Gilbert Urbina,190.5,190.5,Orthodox,"Apr 05, 1996",7,5,0,5.57,0.56,4.62,0.44,2.86,0.44,0.0,0.7
Gillian Robertson,165.1,160.0,Orthodox,"May 17, 1995",17,8,0,2.71,0.48,2.86,0.56,2.76,0.4,0.38,0.9
Glover Teixeira,188.0,193.0,Orthodox,"Oct 28, 1979",33,9,0,3.73,0.49,4.43,0.51,2.11,0.33,0.6,0.9
Grant Dawson,177.8,182.9,Switch,"Feb 20, 1994",23,3,1,3.21,0.52,2.13,0.44,3.81,0.39,0.57,1.1
Gregory Rodrigues,190.5,190.5,Orthodox,"Feb 17, 1992",19,6,0,5.53,0.51,4.78,0.5,1.9,0.34,0.75,0.4
Guido Cannetti,167.6,172.7,Southpaw,"Dec 19, 1979",10,8,0,3.44,0.55,2.84,0.51,2.27,0.55,0.64,0.4
Guilherme Pat,198.1,205.7,Orthodox,"Apr 20, 1994",6,1,0,2.7,0.61,2.03,0.51,0.0,0.0,1.0,0.0
Gunnar Nelson,180.3,182.9,Switch,"Jul 28, 1988",19,6,1,1.77,0.61,3.06,0.48,2.0,0.52,0.68,1.0
Guram Kutateladze,180.3,182.9,Orthodox,"Jan 08, 1992",13,5,0,3.53,0.45,4.22,0.54,0.61,0.15,0.75,0.0
